year,hires,terminations,net_change,net_change_percent
2000,211,211,0,0.00
2001,1082,1082,0,0.00
2002,1012,1011,1,0.10
2003,1088,1077,11,1.01
2004,1087,1071,16,1.47
2005,1038,1004,34,3.28
2006,1069,1024,45,4.21
2007,1058,1020,38,3.59
2008,1061,1011,50,4.71
2009,1094,1040,54,4.94
2010,1050,971,79,7.52
2011,1057,985,72,6.81
2012,1059,971,88,8.31
2013,1042,949,93,8.93
2014,1014,926,88,8.68
2015,1011,892,119,11.77
2016,1076,944,132,12.27
2017,1043,912,131,12.56
2018,1090,957,133,12.20
2019,1038,881,157,15.13
2020,967,824,143,14.79
